url,video_id,commenter_id,commenter_name,comment_text,replies,published_at,Toxic_flag,Toxic_type,lang
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@Premvideoediter-k1p,@Premvideoediter-k1p,"పాయె గేమ్ చేంజర్. కోయరా కోయ కోయ్, కోయ్ కోయ్ ️",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@explorewithsudheer529,@explorewithsudheer529,భయ్యా విడి వీడియోస్ నమ్మకండి వీడు అందరు బాలేదన్న వాళ్ళవి మాత్రం ఎడిట్ చేసి పెట్టుకున్నాడు బాగుంది అన్న వాళ్ళవి కట్ చేశాడు. కావాలంటే మీరు వీడియో క్లారిటీగా చూడండి మీకే అర్థమవుతుంది,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@Xdr-Eliteclan,@Xdr-Eliteclan,"So guys me children ki pushpa 2 chupinchi manchi red chandanam smuggler ni cheyandi elanti niti galla ias lanti bochhulo movies chupinchi chedadengakandi
Okavela mi pillalu perigaka,me pillala friends kani me pakinti valu kani a ias officers oh leka pote government job o chestunte,mimalni me pillalu mummy and dady mamalni smugglers laga enduku chesaru vadi laga ias respect kavali nanu enduku chadvipiyale ante,mere okate dialogue chepandi valaki
Smuggler evarki Ni yavva ""Taggedele""
""Mana brand international""
Good message chala baguntadi",,3 months ago (edited),,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@danielchima9316,@danielchima9316,Edhi ramcharan gari Game changer,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@srinivasaraos-rx6ec,@srinivasaraos-rx6ec,ఎన్టీఆర్ జై దేవర..... అన్న ఎన్టీఆర్ RRR మేము,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@sreebabu4248,@sreebabu4248,Movie blockbuster,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@ns200edit,@ns200edit,PUSHPA GADI RULEUUUU.... RAPPA RAPPA,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@naatutrolls12,@naatutrolls12,గ్లోబల్ జోకర్,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@RamPC150,@RamPC150,"Puspa movie samajanni udharinchela thesaru mari,",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@kotesunil7834,@kotesunil7834,Daaku maharaj  movie best,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@FullEntertainmentbro...,@FullEntertainmentbro...,Correct. Genuine,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@celebritiesworld-TV,@celebritiesworld-TV,Movie block buster,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@beindian7287,@beindian7287,"2 గంటల 30 నిమిషాల కల్పిత కధను టికెట్ కొని చూసి దానిలో వున్న పాత్రలను నిజమైనవిగా  భ్రమపడి ""హీరోలు"" అంటున్న నేటి యువత వాస్తవాలను గ్రహించాలి.

రియల్ హీరోలు ఎవరు. 
నకిలీ హీరోలు ఎవరు.

జన్మనిచ్చిన అమ్మ రియల్ హీరో,
జీవితాన్నిచ్చిన నాన్న రియల్ హీరో.

రెక్కలు ముక్కలు చేసుకొని పంటలు పండించి ఆకలి తీరుస్తున్న రైతన్న హీరో, 

భార్య బిడ్డలను వదిలి కొండ కొనల్లో ఉంటూ దేశానికి రక్షణ ఇచ్చే జవాన్ హీరో, 

నిత్యం నేర్చుకుంటు పాఠాలు చెప్పే గురువు హీరో, 

ఎన్ని కష్టాలు వచ్చిన భరిస్తూ కుటుంబ బాధ్యతలు మోసే కుటుంబ పెద్ద హీరో,

ధర్మం, న్యాయం కోసం ప్రలోభాలకు లొంగకుండా పోరాడే  వృత్తి నిపుణులు 
నిజమైన హీరోలు.

ఎటువంటి ప్రతిఫలం ఆచించకుండా ప్రకృతి రక్షణ కోసం, సమాజం హితం కోసం పాటుపడే నిస్వార్థ సేవకులు నిజమైన హీరోలు.

నకిలీ, డూప్లికేట్, కల్పిత, తెర మీది హీరోల గురించి పరిశీలిద్దాం.

తాత్కాలిక మేకప్ వేసుకొని,
డమ్మీ గన్నులు, పిస్తోళ్ళు పట్టుకొని
ధర్మకోల్ బొమ్మలు ఎత్తుకొని
బిల్డప్లు ఇచ్చే సినిమా నటులు హీరోలు కాదు.
వారు కేవలం జస్ట్ యాక్టర్స్ (నటులు) మాత్రమే.

మాటలు వాళ్ళవి కావు ,
ఫైట్ వాళ్ళది కాదు,
జుట్టు వారిది కాదు, 
పాట వాళ్ళది కాదు, 
కధ వాళ్ళది కాదు, 
డైరెక్షన్ వాళ్ళది కాదు, 
సినిమా ఖర్చు (నిర్మాత ) వాళ్ళది కాదు.

జస్ట్ 2 గంటల30నిముషాలు తెర మీద కనిపించి
డబ్బులు తీసుకునే కొనే సాధారణ వ్యక్తులు సినిమా పాత్రాల్లోని నటులు .

కల్పిత, నట జీవితాలు కాబట్టే... వ్యక్తిగతంగా చిన్న సమస్యలు వచ్చినా పరిష్కారం చేసుకోలేని దుస్థితి సినిమా నటులది.

అంతే కాదు..... క్రమశిక్షణ లేని జీవితాల కారణంగా.
డ్రగ్స్ కేసుల్లో, చీటింగ్ కేసుల్లో, తీవ్ర అనారోగ్య సమస్యల్లో అనేక మంది నటులు చిక్కుకుని సతమతం అవుతున్నారు.

వీళ్ళకోసమా.
విద్యార్థులు, యువకులు గుడ్డలు చింపుకొనేది.
వీళ్ళకోసమా కష్టపడి సంపాదించిన సొమ్మును ఖర్చుచేసేది.
వీళ్ళకోసమా తొక్కిసలాటల్లో కొట్టుకు చచ్చేది.
వీళ్ళకోసమా ఫ్యాన్స్ పేరిట గొడవ పడి ప్రాణాలు తీసుకొనేది.

దేశం కోసం, ధర్మం కోసం ప్రాణాలిస్తే 
నిజమైన హీరోలు అంటారు.

సినిమా నటుల కోసం చస్తే 
జీరోలు అవుతాం.

నిజాలు తెలుసుకోండి.
మారండి.
సినిమాలను సినిమాల్లాగానే చూడండి, మర్చిపోండి.️️️️️️",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@iconstar631,@iconstar631,Pavan fan's kalyan fan's movie nii hit cheyandi ra babu,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@bandusomesh2119,@bandusomesh2119,సూపర్ గా చెప్పావు అన్న,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@ChintuNennu,@ChintuNennu,"Attitude ledhu movie lo adhi challu 

Pichi content less puspa movie chuse dunkiri egga",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@nvgkn,@nvgkn,Cinema chaaalaaaa bagundhi,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@Ayanmultimovemaker,@Ayanmultimovemaker,Movie super brother,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@srinusrinivas647,@srinusrinivas647,వాడు వీడు అంటున్నవ్ ఏందిర్రా బామ్మర్ది,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@Amithyd0067,@Amithyd0067,"Movie bagundi
 Super ga undi  . Just watched",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@shaikkhajarahman3718,@shaikkhajarahman3718,"You removed those yellow colour shirt comments, apart from him what others said is absolutely true",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@KK-os8cd,@KK-os8cd,గ్లోబల్ స్టార్...పేరు కోనేయడం అనుకున్నారేమో...,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@VenkataramanaMata,@VenkataramanaMata,Super anna,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@krishnaveni4559,@krishnaveni4559,"It's not a game changer 
It's a career in danger 
Game over 
Buildup family",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@SunilRaj-bo2cg,@SunilRaj-bo2cg,movie is blockbuster   love from odisha,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@explorewithsudheer529,@explorewithsudheer529,అది నువ్వు పక్క ఈ సినిమా మీద ఏదో పగబెట్టుకొని ఈ వీడియో ఎడిట్ చేసావ్ రా లేదంటే ఈ వీడియో ఈ ఇద్దరు మాట్లాడిన తర్వాత ఇంకా ఎంతమంది బాగుందన్నారు అది ఎందుకు పెట్టలేదు రా నువ్వు? నేను అంతా నీ పక్కనే ఉన్నాను,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@ShaikAmeerullah-c9m,@ShaikAmeerullah-c9m,Game Changer  బ్లాక్ బస్టర్ మూవీ,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@krishnavaishnavam5844,@krishnavaishnavam5844,"Game changer kaadu
Game danger cinima 
Jhandoobhaam",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@venkatsaikumarpolasi890,@venkatsaikumarpolasi890,అందుకే రివ్యూ చూసి కొన్ని రోజులు wait chesi movie ki వెళ్ళాలి,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@truecitizen4532,@truecitizen4532,తెలుగు ప్రేక్షకుల వల్ల కాకుండా నార్త్ ఇండియా వల్లే పుష్ప విజయం సాధించింది. తెలుగు ప్రేక్షకులు మంచి సినిమాలను ఆదరించలేరు. గేమ్ ఛేంజర్ ఒక పర్ఫెక్ట్ సినిమా.. కానీ తెలుగు సినిమా ప్రేమికులు నిజమైన ఇడియట్స్ మరియు దేవుడి సినిమాలను ఎప్పటికీ అర్థం చేసుకోరు/సపోర్ట్ చేయరు... భవిష్యత్ చిత్రాలకు చెడు భవిష్యత్తు... ఈ ఇడియట్స్ వల్ల దర్శకులు పెద్దగా డబ్బు పెట్టుబడి పెట్టరు... తెలుగు ప్రేక్షకులు చాలా వరకు విభజించబడ్డారు!!!,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@kesav4u,@kesav4u,Movie ni movie gaa chuudalenappudu endukocharu movie ki,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@sarvanthulasi8581,@sarvanthulasi8581,.... Good STORY IS STRENGTH..Creat Good writers and pay them well.... . Moral of story bitter truth... Dil Raju Anna heart జాగ్రత్త ... Love your  some good movies ..Miss that old young producer mindset... Shankar garu friends circle మార్చండి,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@rakeshraki2029,@rakeshraki2029,ఈ సినిమాతో శంకరు రిటైర్డ్ అయిపోతాడు ఇంకా రామ్ చరణ్ అయితే Apollo hospital  లో క్యాష్ కౌంటర్లో ఉండేవాడిని పనిలో నుంచి తీసేసి ఇంకా ఈయన కూర్చోవాల్సిందే,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@ksuryarao2372,@ksuryarao2372,"Good saying 
Thank you
Bhaiah",,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@Pandu12564,@Pandu12564,మెగా పాలేర్లు ఇప్పటికైనా మారండి. మనం ఇతరులకు ఏది ఇస్తే మనకు అదే తిరిగివస్తుంది. పుష్ప ని ఏ విధంగా ఇబ్బంది పెట్టార్రా మీరు.... ఇపుడు మీ గేమ్ ఓవర్ సినిమా పరీస్థితి ఇది,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@nenavathganesh9146,@nenavathganesh9146,Right bro,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@chandradu152,@chandradu152,Director thappu kadhu hero dhi Kathaa story selection worst,,3 months ago,,,unknown
https://www.youtube.com/watch?v=EuuD_xTVwTM,EuuD_xTVwTM,@gnanesh485,@gnanesh485,Super anna,,3 months ago,,,unknown
